total_pnl,wallet
3184082.99,BNNPA8aUni5LZzGjd3ZauwsRXKVpQVtf89FyZRKVy36B
3178860.21,H4HJ31Th7ti5saUaZRKe9WyrDxTzrRX7gojd9xA2xF6T
3171716.34,71CPXu3TvH3iUKaY1bNkAAow24k6tjH473SsKprQBABC
3144777.31,E82uKSzbi1YHuEPDkVV93xz5zE7phNeMmENQieyyX3kH
3125864.36,BMFQvsezqSHMLXgEeLne9sqiPion6T2168qmEffxtEPd
3109467.34,BC9idXUU8qEehdRRH61VJYHLpCqMML7yPDU1ZiZ8L6NT
3076436.26,73UUCeARVtcMDWSeEQy4odsMqqmNbZp4KtGTD7Wq7AoY
3072145.7,5q5eGLvCoqrDB9qErjn3F2CiX3z6NYKUkX43xF2x3ira
3061969.09,GWZEpUuGVJY1QjqrWooieyxWwqfSMnoZx9HWCm6Cd7eT
3048051.49,8bErDQoBMuL8eZtPXoW7uM8ZzU2zTKZfeZxZap4ESpEF
3045287.41,BWNBi7NvjDm6ifqF6K2TjPJm73icyBrMkH4MfYhvNX6L
3044422.51,BrNoqdHUCcv9yTncnZeSjSov8kqhpmzv1nAiPbq1M95H
3028746.94,6r3WKowwoqYkG4P2zVvX1aNBrg8Da1NZpHT9QxQy9w57
3000852.44,96bdwZ1DVoHkMFBumRio6MRGJRoPt58PU3ykNSU52iz9
2996731.91,7AcXjNTmryXtbGEqYtD3GYGYAtU9hfpp8vSgJY621jpr
2985894.33,9zmcSrMV5yaA1gNdA2ZkHvfkir45jKhnmNwGwj3r2kuq
2984610.81,DbJpiVvBV5SoTEde7fys8H9VGoqnRqbNKySH6t55DFHc
2973132.84,F6qJ9zEigBXrD1s8gkYSPcr7tvL1xKgSdwv1jKPvjDX7
2962124.29,6zMfvBXg3RjftRteoAxi86TLgvp8dezrQQCTvrVBYv42
2960706.45,HsEpWHShuPDZM35DmS7BU95qrvPQWC8vLqQtHajwifcf
