wallet,total_pnl,first_seen,last_seen
FB17KCgFjwtEWduJAykvRcJnM5nYZvpHfWWg135V18KR,4585223.63,2024-12-04,2024-12-04
FB6RNQ5KQj4fH4qJ5EFKiPBkgD4LXaPfvLxj2P2NrHMq,4584487.87,2024-12-04,2024-12-04
Hjp6VoboXdTF2wSmSnrVttQaTTXD1eX7r9HAGVgpLBDE,4487105.71,2024-12-04,2024-12-04
Hca6WQUNMQZsGtxX5aSZKsZT9risZK82nvL8zush7ged,4453141.23,2024-12-04,2024-12-04
FYEoJK4QWhxQfdTFk5ekEK3xWKPBojwa9wNKaJZ32Reo,4425947.01,2024-12-04,2024-12-04
2Uw7SpQWnoPo7gobKo9rUu6gZ5QizvSacmZARpCXTAvs,4378820.77,2024-12-04,2024-12-04
ApYz85FDJPFZSPB7rE4D2MSCKSyhCVqvvJNE1ybcfqQF,2826205.18,2024-12-04,2024-12-04
6vavjVgB77AijuHzf2FbzJL9CcaXFC58T377TfkgbGYw,4362218.65,2024-12-04,2024-12-04
2HbSDQ6eV4bUREdTd2juVcsA42ppFLjyCmmhETRWQBjz,4342150.83,2024-12-04,2024-12-04
9AvTqkyGVeZE8q2MrEXaQsAqqDYVj3xot2WeHcTc328,4281662.03,2024-12-04,2024-12-04
73utv4qKKe2wi2ZnFamx3459bgXtZgVbMdEjakK4dhCY,4273392.11,2024-12-04,2024-12-04
5urc4fxBh7RjYVjvXv24XEuK38uQV8hxYo7niaEDGQs9,4188470.6,2024-12-04,2024-12-04
CPJQEwQkDFSJut9U2zZR1H5HyNg5JYZjg7EUXVMMSwWd,4181314.21,2024-12-04,2024-12-04
GBC3eETdXyTZqH5j1kMbtmLpPPUT3QyDUYktEAu1BTZY,4089574.88,2024-12-04,2024-12-04
BVb5iFPRfWsxq3n69sVsr4Qg5UfFgx5WxcU9WBSeM5ao,4086281.47,2024-12-04,2024-12-04
6VxNqkH7oUMBXUaa3QpCsmeG5pejKPzGH5tT57xNC1An,4076738.29,2024-12-04,2024-12-04
EGSb4HyLm8sYdQATumMRFUN2abnFrqXJ3VXGqqxKFtQv,4076295.63,2024-12-04,2024-12-04
362DD2MPEFQUxvJRVpna5kC51Rrd1RKx4TFw3pPdi8xr,4053691.62,2024-12-04,2024-12-04
EA1Es6599pm6JBr1hkPVaWtTW4cCZbAcnj5ikgkfaVyE,4022087.02,2024-12-04,2024-12-04
DFLsswviB5berifRS1qFXJhQMdSVkUYmu16hxrVbFtbm,2549353.75,2024-12-04,2024-12-04
7ZhRXgBjphKVeufAMUsmG8hi1PwdFRDWiSbP5yzm2g3Y,3991267.77,2024-12-04,2024-12-04
ARotCjvr7kwk3eLYALJJ1RwKMGn9Dba4uFi5eGt3btKM,3987444.98,2024-12-04,2024-12-04
4zNtQwBpuCWuSAWpnSU8ty1NdNUVDMsHBw3w9V9DNAWt,3987075.5,2024-12-04,2024-12-04
C5YSQjFWwdPcQnEyh51Gt8tTWzRpzAPAyqUi9GX526SD,3945635.67,2024-12-04,2024-12-04
iws9UrXUKHjzQ1TNEcn6hbY6DSCvrRWNUb1ckNtiArK,3943399.22,2024-12-04,2024-12-04
E4EYgRhUGZJXsYjiJhu4yRpjzYyh85GR1R2XnZ1zB5JW,3932116.8,2024-12-04,2024-12-04
HwWarRgiex3mFTY78VbXc3G5gbVtMEYjqBgMxuYqcHBd,3908192.03,2024-12-04,2024-12-04
